,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,cluster_label
19470,0.483,['Sia'],0.716,165907,0.512,0,7uoFMmxln0GPXQ0AcCBXRq,0.0,1,0.0928,-6.2570000000000014,1,Snowman,91,2018-11-01,0.0331,104.957,0.326,2018,19
19670,0.122,['Harry Styles'],0.5479999999999999,174000,0.816,0,6UelLqGlWMcVH1E5c4H7lY,0.0,0,0.335,-4.209,1,Watermelon Sugar,91,2019-12-13,0.0465,95.39,0.557,2019,1
19862,0.221,"['24kGoldn', 'iann dior']",0.7,140526,0.722,1,3tjFYV6RSFtuktYl3ZtYcq,0.0,7,0.272,-3.5580000000000003,0,Mood (feat. iann dior),96,2020-07-24,0.0369,90.989,0.7559999999999999,2020,11
19864,0.499,['SZA'],0.436,279204,0.655,1,3YJJjQPAbDT7mGpX3WtQ9A,8.1e-06,1,0.688,-8.37,0,Good Days,91,2020-12-25,0.0583,121.002,0.412,2020,11
19866,0.468,['Ariana Grande'],0.737,172325,0.802,1,35mvY5S1H3J2QZyna3TFe0,0.0,0,0.0931,-4.771,1,positions,96,2020-10-30,0.0878,144.015,0.682,2020,11
19868,0.237,['Ariana Grande'],0.83,173711,0.585,1,6Im9k8u9iIzKMrmV7BWtlF,0.0,0,0.248,-6.476,1,34+35,94,2020-10-30,0.094,109.978,0.485,2020,11
19870,0.19,['CJ'],0.711,123429,0.598,1,5vGLcdRuSbUhD8ScwsGSdA,0.0,3,0.15,-7.621,0,Whoopty,94,2020-08-20,0.182,140.175,0.737,2020,11
19872,0.213,['The Kid LAROI'],0.662,161385,0.413,1,27OeeYzk6klgBh83TSvGMA,0.0,0,0.134,-7.357,1,WITHOUT YOU,94,2020-11-06,0.0299,93.005,0.467,2020,11
19874,0.114,"['Pop Smoke', 'Lil Baby', 'DaBaby']",0.823,190476,0.586,1,0PvFJmanyNQMseIFrU708S,0.0,6,0.193,-6.606,0,For The Night (feat. Lil Baby & DaBaby),91,2020-07-03,0.2,125.971,0.34700000000000003,2020,11
19876,0.218,['Billie Eilish'],0.889,174321,0.34,0,54bFM56PmE4YLRnqpW6Tha,0.13,11,0.055,-7.773,0,Therefore I Am,94,2020-11-12,0.0697,94.009,0.716,2020,9
19878,0.65,['Pop Smoke'],0.7090000000000001,160000,0.5479999999999999,1,1tkg4EHVoqnhR6iFEXb60y,1.59e-06,10,0.133,-8.493,1,What You Know Bout Love,93,2020-07-03,0.353,83.995,0.5429999999999999,2020,11
19880,0.0194,"['Cardi B', 'Megan Thee Stallion']",0.935,187541,0.454,1,4Oun2ylbjFKMPTiaSbbCih,0.0,1,0.0824,-7.508999999999999,1,WAP (feat. Megan Thee Stallion),92,2020-08-07,0.375,133.07299999999998,0.35700000000000004,2020,11
19884,0.12,['Lil Nas X'],0.81,154998,0.511,1,6zFMeegAMYQo0mt8rXtrli,0.0,5,0.0832,-6.924,0,HOLIDAY,92,2020-11-13,0.16399999999999998,151.947,0.8370000000000001,2020,11
19886,0.401,"['Bad Bunny', 'Jhay Cortez']",0.731,205090,0.573,1,47EiUVwUp4C9fGccaPuUCS,5.22e-05,4,0.113,-10.059,0,DÁKITI,95,2020-10-30,0.0544,109.928,0.145,2020,11
19892,0.247,"['DaBaby', 'Roddy Ricch']",0.746,181733,0.69,1,7ytR5pFWmSjzHJIeQkgog4,0.0,11,0.101,-7.956,1,ROCKSTAR (feat. Roddy Ricch),91,2020-04-17,0.16399999999999998,89.977,0.4970000000000001,2020,11
19896,0.584,['Conan Gray'],0.35700000000000004,198040,0.425,0,4xqrdfXkTW4T0RauPLv3WA,0.0,5,0.322,-7.301,1,Heather,91,2020-03-20,0.0333,102.078,0.27,2020,19
19900,0.7859999999999999,['Tate McRae'],0.642,169266,0.374,0,45bE4HXI0AwGZXfZtMp8JR,0.0,4,0.0906,-9.386,1,you broke me first,93,2020-04-17,0.0545,124.099,0.0799,2020,19
19908,0.8640000000000001,"['Justin Bieber', 'benny blanco']",0.631,149297,0.239,1,4y4spB9m0Q6026KfkAvy9Q,0.0,11,0.116,-7.0710000000000015,0,Lonely (with benny blanco),92,2020-10-16,0.0398,79.859,0.0927,2020,11
19924,0.0676,"['Shawn Mendes', 'Justin Bieber']",0.652,178994,0.383,0,2Z8yfpFX0ZMavHkcIeHiO1,0.0,2,0.0828,-7.0760000000000005,0,Monster (Shawn Mendes & Justin Bieber),91,2020-11-20,0.0516,145.765,0.5489999999999999,2020,9
19928,0.0303,"['Bad Bunny', 'ROSALÍA']",0.856,203201,0.618,0,2XIc1pqjXV3Cr2BQUGNBck,0.0,7,0.0866,-4.892,1,LA NOCHE DE ANOCHE,94,2020-11-27,0.28600000000000003,81.993,0.391,2020,10
19974,0.00691,['BTS'],0.5660000000000001,207481,0.716,0,249gnXrbfmV8NG6jTEMSwD,0.0,1,0.37,-5.733,1,Life Goes On,91,2020-11-20,0.0424,81.068,0.45,2020,1
19976,0.212,['KAROL G'],0.863,178947,0.6659999999999999,1,7vrJn5hDSXRmdXoR30KgF1,0.000493,1,0.103,-4.158,0,BICHOTA,95,2020-10-23,0.152,163.908,0.838,2020,11
19984,0.0112,['BTS'],0.746,199054,0.765,0,4saklk6nie3yiGePpBwUoc,0.0,6,0.0936,-4.41,0,Dynamite,91,2020-11-20,0.0993,114.044,0.737,2020,9
20018,0.401,"['Bad Bunny', 'Jhay Cortez']",0.731,205090,0.573,1,4MzXwWMhyBbmu6hOcLVD49,5.22e-05,4,0.113,-10.059,0,DÁKITI,91,2020-11-27,0.0544,109.928,0.145,2020,11
20062,0.721,['Olivia Rodrigo'],0.585,242014,0.436,1,7lPN2DXiMsVn7XUKtOW1CS,1.31e-05,10,0.105,-8.761000000000001,1,drivers license,100,2021-01-08,0.0601,143.874,0.132,2021,11
20068,0.181,['Justin Bieber'],0.6859999999999999,190779,0.5379999999999999,0,31qCy5ZaophVA81wtlwLc4,3.13e-06,2,0.113,-8.026,1,Anyone,92,2021-01-01,0.0345,115.884,0.584,2021,1
39236,0.168,"['Joel Corry', 'MNEK']",0.7340000000000001,166028,0.8740000000000001,0,6cx06DFPPHchuUAcTxznu9,1.14e-05,8,0.0489,-3.158,1,Head & Heart (feat. MNEK),91,2020-07-03,0.0662,122.953,0.905,2020,10
39252,0.414,['Tiësto'],0.7979999999999999,164000,0.62,0,6f3Slt0GbA2bPZlz0aIFXN,0.0192,8,0.112,-7.079,0,The Business,92,2020-09-16,0.232,120.031,0.235,2020,9
39424,0.18,"['Manuel Turizo', 'Rauw Alejandro', 'Myke Towers']",0.736,216107,0.632,0,7ndTONDDRFGiPnnhOzOXxq,0.0,11,0.349,-4.939,0,La Nota,91,2020-10-08,0.0648,92.03,0.503,2020,9
76406,0.362,['Boza'],0.725,186133,0.7559999999999999,0,3VvA1wSxukMLsvXoXtlwWx,0.000685,4,0.103,-5.013,1,Hecha Pa' Mi,92,2020-07-31,0.0572,100.07,0.828,2020,1
76488,0.122,"['Myke Towers', 'Juhn']",0.713,232853,0.617,0,1xK1Gg9SxG8fy2Ya373oqb,0.0,8,0.0962,-4.637,1,Bandido,91,2020-12-10,0.0887,168.021,0.682,2020,10
